,corn,date,value
0,corn,2024-09-01,183.655827659774
1,corn,2024-08-01,169.296742410714
2,corn,2024-07-01,177.767708446429
3,corn,2024-06-01,191.240942946429
4,corn,2024-05-01,201.019470535714
5,corn,2024-04-01,190.90005
6,corn,2024-03-01,190.227211428571
7,corn,2024-02-01,188.947744464286
8,corn,2024-01-01,198.757928528912
9,corn,2023-12-01,207.397968890977
10,corn,2023-11-01,209.040296830357
11,corn,2023-10-01,221.90251875
12,corn,2023-09-01,223.847666428571
13,corn,2023-08-01,207.675888664596
14,corn,2023-07-01,235.271947278912
15,corn,2023-06-01,266.93523962585
16,corn,2023-05-01,268.172526360544
17,corn,2023-04-01,291.179744924812
18,corn,2023-03-01,284.957404968944
19,corn,2023-02-01,298.245303383459
20,corn,2023-01-01,302.839988392857
21,corn,2022-12-01,302.235405102041
22,corn,2022-11-01,320.929682857143
23,corn,2022-10-01,343.553283333333
24,corn,2022-09-01,312.546127891156
25,corn,2022-08-01,293.930790333851
26,corn,2022-07-01,312.682041964286
27,corn,2022-06-01,335.717134013605
28,corn,2022-05-01,344.909299603175
29,corn,2022-04-01,348.507116964286
30,corn,2022-03-01,335.930684161491
31,corn,2022-02-01,292.671593045113
32,corn,2022-01-01,276.719178214286
33,corn,2021-12-01,264.573146768707
34,corn,2021-11-01,248.767746071429
35,corn,2021-10-01,239.60245085034
36,corn,2021-09-01,235.815603571429
37,corn,2021-08-01,257.020755357143
38,corn,2021-07-01,278.445755612245
39,corn,2021-06-01,292.523726785714
40,corn,2021-05-01,304.297549659864
41,corn,2021-04-01,268.622448809524
42,corn,2021-03-01,245.760356832298
43,corn,2021-02-01,245.554056578947
44,corn,2021-01-01,231.754461466165
45,corn,2020-12-01,199.184417517007
46,corn,2020-11-01,190.625037593985
47,corn,2020-10-01,186.7663875
48,corn,2020-09-01,166.602533503401
49,corn,2020-08-01,149.392999829932
50,corn,2020-07-01,152.587619642857
51,corn,2020-06-01,148.042380357143
52,corn,2020-05-01,143.98924375
53,corn,2020-04-01,147.012160204082
54,corn,2020-03-01,162.179148214286
55,corn,2020-02-01,168.744598496241
56,corn,2020-01-01,171.814135204082
57,corn,2019-12-01,167.059017321429
58,corn,2019-11-01,166.361785526316
59,corn,2019-10-01,167.297794099379
60,corn,2019-09-01,157.374436607143
61,corn,2019-08-01,163.628614285714
62,corn,2019-07-01,189.486373214286
63,corn,2019-06-01,195.167922321429
64,corn,2019-05-01,171.180153571429
65,corn,2019-04-01,161.653386564626
66,corn,2019-03-01,166.321331972789
67,corn,2019-02-01,169.656283458647
68,corn,2019-01-01,166.846241496599
69,corn,2018-12-01,167.489880555556
70,corn,2018-11-01,160.878207678571
71,corn,2018-10-01,160.365565062112
72,corn,2018-09-01,154.945003383459
73,corn,2018-08-01,162.522258540373
74,corn,2018-07-01,156.55426547619
75,corn,2018-06-01,165.140285544218
76,corn,2018-05-01,179.179058928571
77,corn,2018-04-01,175.600982482993
78,corn,2018-03-01,172.076589965986
79,corn,2018-02-01,163.460969736842
80,corn,2018-01-01,155.916875340136
81,corn,2017-12-01,149.0874275
82,corn,2017-11-01,148.792165892857
83,corn,2017-10-01,148.722376785714
84,corn,2017-09-01,147.315857857143
85,corn,2017-08-01,148.543430357143
86,corn,2017-07-01,157.610645892857
87,corn,2017-06-01,157.973907142857
88,corn,2017-05-01,158.600219642857
89,corn,2017-04-01,156.540452067669
90,corn,2017-03-01,158.979119254658
91,corn,2017-02-01,162.962535912698
92,corn,2017-01-01,160.012106964286
93,corn,2016-12-01,152.729924659864
94,corn,2016-11-01,151.331415714286
95,corn,2016-10-01,152.617444047619
96,corn,2016-09-01,148.51190170068
97,corn,2016-08-01,150.21541242236
98,corn,2016-07-01,161.823044821429
99,corn,2016-06-01,179.912739285714
100,corn,2016-05-01,169.002119897959
101,corn,2016-04-01,164.465401870748
102,corn,2016-03-01,159.226532142857
103,corn,2016-02-01,159.716845357143
104,corn,2016-01-01,161.098876879699
105,corn,2015-12-01,164.004401785714
106,corn,2015-11-01,166.09242406015
107,corn,2015-10-01,171.448573214286
108,corn,2015-09-01,166.077623979592
109,corn,2015-08-01,162.74069914966
110,corn,2015-07-01,179.608530357143
111,corn,2015-06-01,166.813860714286
112,corn,2015-05-01,166.350389464286
113,corn,2015-04-01,172.151577040816
114,corn,2015-03-01,174.293821428571
115,corn,2015-02-01,173.758865789474
116,corn,2015-01-01,174.794871428571
117,corn,2014-12-01,178.712946088435
118,corn,2014-11-01,178.708535084034
119,corn,2014-10-01,163.378089285714
120,corn,2014-09-01,163.134381292517
121,corn,2014-08-01,176.482080612245
122,corn,2014-07-01,182.29451625
123,corn,2014-06-01,202.633822959184
124,corn,2014-05-01,216.975101020408
125,corn,2014-04-01,222.430410714286
126,corn,2014-03-01,222.392917176871
127,corn,2014-02-01,209.356019548872
128,corn,2014-01-01,198.771988605442
129,corn,2013-12-01,197.553448639456
130,corn,2013-11-01,199.182444172932
131,corn,2013-10-01,201.779992857143
132,corn,2013-09-01,207.490173392857
133,corn,2013-08-01,234.938766071429
134,corn,2013-07-01,279.013271428571
135,corn,2013-06-01,297.111913214286
136,corn,2013-05-01,295.368975
137,corn,2013-04-01,279.764846428571
138,corn,2013-03-01,309.579205075188
139,corn,2013-02-01,302.61034047619
140,corn,2013-01-01,303.36021122449
141,corn,2012-12-01,308.75040056391
142,corn,2012-11-01,321.596870488722
143,corn,2012-10-01,321.382417321428
144,corn,2012-09-01,320.705905639098
145,corn,2012-08-01,332.233495341615
146,corn,2012-07-01,332.99885255102
147,corn,2012-06-01,267.328921768707
148,corn,2012-05-01,268.884903571429
149,corn,2012-04-01,274.219296607143
150,corn,2012-03-01,280.715051964286
151,corn,2012-02-01,279.514321428571
152,corn,2012-01-01,272.920145535714
153,corn,2011-12-01,258.51794047619
154,corn,2011-11-01,274.278348928571
155,corn,2011-10-01,274.846376020408
156,corn,2011-09-01,296.299496428571
157,corn,2011-08-01,310.307111645963
158,corn,2011-07-01,300.832209464286
159,corn,2011-06-01,310.536474285714
160,corn,2011-05-01,308.575221428571
161,corn,2011-04-01,318.938776020408
162,corn,2011-03-01,290.43472173913
163,corn,2011-02-01,293.396796992481
164,corn,2011-01-01,265.285523979592
165,corn,2010-12-01,250.62555085034
166,corn,2010-11-01,238.23674875
167,corn,2010-10-01,235.703122959184
168,corn,2010-09-01,205.839520408163
169,corn,2010-08-01,175.600130357143
170,corn,2010-07-01,163.921745578231
171,corn,2010-06-01,152.873933928571
172,corn,2010-05-01,163.240300535714
173,corn,2010-04-01,157.266642687075
174,corn,2010-03-01,158.927769409938
175,corn,2010-02-01,161.906961278195
176,corn,2010-01-01,167.335630827068
177,corn,2009-12-01,164.612819642857
178,corn,2009-11-01,171.686854511278
179,corn,2009-10-01,167.279121428571
180,corn,2009-09-01,150.592793027211
181,corn,2009-08-01,152.036294217687
182,corn,2009-07-01,151.800255357143
183,corn,2009-06-01,179.393794642857
184,corn,2009-05-01,180.070212142857
185,corn,2009-04-01,168.795905442177
186,corn,2009-03-01,164.577030357143
187,corn,2009-02-01,163.399960515873
188,corn,2009-01-01,173.295129931973
189,corn,2008-12-01,158.909796964286
190,corn,2008-11-01,164.304400210084
191,corn,2008-10-01,183.024702891156
192,corn,2008-09-01,233.945613392857
193,corn,2008-08-01,235.159466666667
194,corn,2008-07-01,267.141454081633
195,corn,2008-06-01,287.132070892857
196,corn,2008-05-01,243.531773571429
197,corn,2008-04-01,246.6418625
198,corn,2008-03-01,233.925929285714
199,corn,2008-02-01,220.047597744361
200,corn,2008-01-01,206.558804323308
201,corn,2007-12-01,180.283263655462
202,corn,2007-11-01,171.113943392857
203,corn,2007-10-01,164.114103726708
204,corn,2007-09-01,160.125031578947
205,corn,2007-08-01,151.030785714286
206,corn,2007-07-01,147.216401315789
207,corn,2007-06-01,164.537264484127
208,corn,2007-05-01,160.139158928571
209,corn,2007-04-01,152.630566785714
210,corn,2007-03-01,169.583269727891
211,corn,2007-02-01,177.384885526316
212,corn,2007-01-01,165.160018984962
213,corn,2006-12-01,160.720734821429
214,corn,2006-11-01,164.10640125
215,corn,2006-10-01,142.262410714286
216,corn,2006-09-01,120.269894642857
217,corn,2006-08-01,115.277289285714
218,corn,2006-07-01,114.305610178571
219,corn,2006-06-01,109.612356632653
220,corn,2006-05-01,110.624682142857
221,corn,2006-04-01,107.910347368421
222,corn,2006-03-01,104.952080357143
223,corn,2006-02-01,106.936502067669
224,corn,2006-01-01,102.7904075
225,corn,2005-12-01,102.676052210884
226,corn,2005-11-01,95.9797064285714
227,corn,2005-10-01,101.551246088435
228,corn,2005-09-01,97.0707683673469
229,corn,2005-08-01,99.2866364285714
230,corn,2005-07-01,105.664287142857
231,corn,2005-06-01,97.6152767857143
232,corn,2005-05-01,95.364812414966
233,corn,2005-04-01,96.4708717687075
234,corn,2005-03-01,100.014011054422
235,corn,2005-02-01,94.3593936090225
236,corn,2005-01-01,96.03875875
237,corn,2004-12-01,95.6085204081633
238,corn,2004-11-01,93.7585103383459
239,corn,2004-10-01,93.4151484693877
240,corn,2004-09-01,97.7269052721088
241,corn,2004-08-01,104.0931375
242,corn,2004-07-01,104.49448877551
243,corn,2004-06-01,123.278751020408
244,corn,2004-05-01,129.285215714286
245,corn,2004-04-01,133.439499659864
246,corn,2004-03-01,128.460194875776
247,corn,2004-02-01,122.932429135338
248,corn,2004-01-01,116.245588293651
249,corn,2003-12-01,111.992209586466
250,corn,2003-11-01,108.10048487395
251,corn,2003-10-01,104.205951552795
252,corn,2003-09-01,103.238455272109
253,corn,2003-08-01,100.349578214286
254,corn,2003-07-01,97.6706649659864
255,corn,2003-06-01,107.02530255102
256,corn,2003-05-01,107.906400680272
257,corn,2003-04-01,105.338093367347
258,corn,2003-03-01,105.131878911565
259,corn,2003-02-01,106.141079960317
260,corn,2003-01-01,105.844256122449
261,corn,2002-12-01,107.012648482143
262,corn,2002-11-01,108.646429375
263,corn,2002-10-01,109.64680993323
264,corn,2002-09-01,113.941454196429
265,corn,2002-08-01,109.891001785714
266,corn,2002-07-01,99.7000026785715
267,corn,2002-06-01,93.1698001339286
268,corn,2002-05-01,90.3313050170068
269,corn,2002-04-01,87.1066477678571
270,corn,2002-03-01,89.8579491071429
271,corn,2002-02-01,90.728193843985
272,corn,2002-01-01,91.9669605867347
273,corn,2001-12-01,92.3115151680672
274,corn,2001-11-01,89.8825542410714
275,corn,2001-10-01,86.2677391304348
276,corn,2001-09-01,89.7439884868421
277,corn,2001-08-01,92.8790316381988
278,corn,2001-07-01,90.7546695436508
279,corn,2001-06-01,83.1606659863946
280,corn,2001-05-01,85.0775230867347
281,corn,2001-04-01,87.5450665178572
282,corn,2001-03-01,91.0121535714286
283,corn,2001-02-01,92.3775148214285
284,corn,2001-01-01,94.2972332706767
285,corn,2000-12-01,96.2242037593985
286,corn,2000-11-01,88.9371078282313
287,corn,2000-10-01,84.7072744047619
288,corn,2000-09-01,80.150576268797
289,corn,2000-08-01,75.2405311428571
290,corn,2000-07-01,75.057375212585
291,corn,2000-06-01,84.0395145034014
292,corn,2000-05-01,95.5305508928571
293,corn,2000-04-01,95.5393729517857
294,corn,2000-03-01,95.1693511057143
295,corn,2000-02-01,95.0816190401786
296,corn,2000-01-01,92.9532749553571
297,corn,1999-12-01,87.2228376839286
298,corn,1999-11-01,85.4093406300459
299,corn,1999-10-01,85.6504712053571
300,corn,1999-09-01,87.1209208758503
301,corn,1999-08-01,86.3819147321428
302,corn,1999-07-01,83.5984030357143
303,corn,1999-06-01,92.9470118303571
304,corn,1999-05-01,92.7170656696428
305,corn,1999-04-01,94.0384785289116
306,corn,1999-03-01,96.4264500776398
307,corn,1999-02-01,94.5640047227443
308,corn,1999-01-01,97.4518737792969
309,corn,1998-12-01,95.3247604370117
310,corn,1998-11-01,97.3845291137695
311,corn,1998-10-01,95.494758605957
312,corn,1998-09-01,85.7144470214844
313,corn,1998-08-01,88.3582077026367
314,corn,1998-07-01,100.904479980469
315,corn,1998-06-01,101.751693725586
316,corn,1998-05-01,105.966926574707
317,corn,1998-04-01,106.687858581543
318,corn,1998-03-01,113.840438842773
319,corn,1998-02-01,113.61873626709
320,corn,1998-01-01,114.367256164551
321,corn,1997-12-01,113.604362487793
322,corn,1997-11-01,117.404762268066
323,corn,1997-10-01,120.244216918945
324,corn,1997-09-01,112.236907958984
325,corn,1997-08-01,111.951019287109
326,corn,1997-07-01,106.420722961426
327,corn,1997-06-01,112.58137512207
328,corn,1997-05-01,118.610809326172
329,corn,1997-04-01,124.712875366211
330,corn,1997-03-01,127.860580444336
331,corn,1997-02-01,121.746200561523
332,corn,1997-01-01,118.695167541504
333,corn,1996-12-01,116.835014343262
334,corn,1996-11-01,117.136840820313
335,corn,1996-10-01,128.608795166016
336,corn,1996-09-01,145.239181518555
337,corn,1996-08-01,186.820068359375
338,corn,1996-07-01,197.619995117188
339,corn,1996-06-01,196.639312744141
340,corn,1996-05-01,203.998931884766
341,corn,1996-04-01,189.03303527832
342,corn,1996-03-01,170.961151123047
343,corn,1996-02-01,164.71223449707
344,corn,1996-01-01,156.67073059082
345,corn,1995-12-01,148.188522338867
346,corn,1995-11-01,143.21223449707
347,corn,1995-10-01,140.816360473633
348,corn,1995-09-01,130.51301574707
349,corn,1995-08-01,126.297080993652
350,corn,1995-07-01,127.309562683105
351,corn,1995-06-01,120.007438659668
352,corn,1995-05-01,111.927581787109
353,corn,1995-04-01,109.640487670898
354,corn,1995-03-01,109.627067565918
355,corn,1995-02-01,106.977661132813
356,corn,1995-01-01,106.898773193359
357,corn,1994-12-01,102.555236816406
358,corn,1994-11-01,95.605712890625
359,corn,1994-10-01,96.1100006103516
360,corn,1994-09-01,97.6050567626953
361,corn,1994-08-01,96.1568756103516
362,corn,1994-07-01,98.7315521240234
363,corn,1994-06-01,112.083099365234
364,corn,1994-05-01,110.601257324219
365,corn,1994-04-01,113.416732788086
366,corn,1994-03-01,120.107292175293
367,corn,1994-02-01,123.64900970459
368,corn,1994-01-01,126.716453552246
369,corn,1993-12-01,121.229499816895
370,corn,1993-11-01,115.92845916748
371,corn,1993-10-01,105.767631530762
372,corn,1993-09-01,101.031677246094
373,corn,1993-08-01,100.312896728516
374,corn,1993-07-01,101.888687133789
375,corn,1993-06-01,92.7262115478516
376,corn,1993-05-01,99.2226715087891
377,corn,1993-04-01,100.487373352051
378,corn,1993-03-01,97.5351867675781
379,corn,1993-02-01,94.2540740966797
380,corn,1993-01-01,94.09521484375
381,corn,1992-12-01,94.0434188842773
382,corn,1992-11-01,95.1726608276367
383,corn,1992-10-01,94.5597686767578
384,corn,1992-09-01,98.2166748046875
385,corn,1992-08-01,97.5399322509766
386,corn,1992-07-01,102.394058227539
387,corn,1992-06-01,110.201927185059
388,corn,1992-05-01,109.177909851074
389,corn,1992-04-01,109.055137634277
390,corn,1992-03-01,116.684593200684
391,corn,1992-02-01,113.921257019043
392,corn,1992-01-01,109.586357116699
393,corn,1991-12-01,106.720680236816
394,corn,1991-11-01,106.797866821289
395,corn,1991-10-01,109.523323059082
396,corn,1991-09-01,108.853126525879
397,corn,1991-08-01,110.118812561035
398,corn,1991-07-01,105.72989654541
399,corn,1991-06-01,105.113136291504
400,corn,1991-05-01,105.735160827637
401,corn,1991-04-01,110.231010437012
402,corn,1991-03-01,109.049957275391
403,corn,1991-02-01,106.294166564941
404,corn,1991-01-01,105.506813049316
405,corn,1990-12-01,102.357360839844
406,corn,1990-11-01,99.9952697753906
407,corn,1990-10-01,99.9952697753906
408,corn,1990-09-01,102.357360839844
409,corn,1990-08-01,109.83731842041
410,corn,1990-07-01,114.955192565918
411,corn,1990-06-01,120.073066711426
412,corn,1990-05-01,121.254096984863
413,corn,1990-04-01,118.498336791992
414,corn,1990-03-01,109.83731842041
415,corn,1990-02-01,106.294166564941
416,corn,1990-01-01,105.900512695313
417,corn,1989-12-01,.
418,corn,1989-11-01,.
419,corn,1989-10-01,.
420,corn,1989-09-01,.
421,corn,1989-08-01,.
422,corn,1989-07-01,.
423,corn,1989-06-01,.
424,corn,1989-05-01,.
425,corn,1989-04-01,.
426,corn,1989-03-01,.
427,corn,1989-02-01,.
428,corn,1989-01-01,.
429,corn,1988-12-01,.
430,corn,1988-11-01,.
431,corn,1988-10-01,.
432,corn,1988-09-01,.
433,corn,1988-08-01,.
434,corn,1988-07-01,.
435,corn,1988-06-01,.
436,corn,1988-05-01,.
437,corn,1988-04-01,.
438,corn,1988-03-01,.
439,corn,1988-02-01,.
440,corn,1988-01-01,.
441,corn,1987-12-01,.
442,corn,1987-11-01,.
443,corn,1987-10-01,.
444,corn,1987-09-01,.
445,corn,1987-08-01,.
446,corn,1987-07-01,.
447,corn,1987-06-01,.
448,corn,1987-05-01,.
449,corn,1987-04-01,.
450,corn,1987-03-01,.
451,corn,1987-02-01,.
452,corn,1987-01-01,.
453,corn,1986-12-01,.
454,corn,1986-11-01,.
455,corn,1986-10-01,.
456,corn,1986-09-01,.
457,corn,1986-08-01,.
458,corn,1986-07-01,.
459,corn,1986-06-01,.
460,corn,1986-05-01,.
461,corn,1986-04-01,.
462,corn,1986-03-01,.
463,corn,1986-02-01,.
464,corn,1986-01-01,.
465,corn,1985-12-01,.
466,corn,1985-11-01,.
467,corn,1985-10-01,.
468,corn,1985-09-01,.
469,corn,1985-08-01,.
470,corn,1985-07-01,.
471,corn,1985-06-01,.
472,corn,1985-05-01,.
473,corn,1985-04-01,.
474,corn,1985-03-01,.
475,corn,1985-02-01,.
476,corn,1985-01-01,.
477,corn,1984-12-01,.
478,corn,1984-11-01,.
479,corn,1984-10-01,.
480,corn,1984-09-01,.
481,corn,1984-08-01,.
482,corn,1984-07-01,.
483,corn,1984-06-01,.
484,corn,1984-05-01,.
485,corn,1984-04-01,.
486,corn,1984-03-01,.
487,corn,1984-02-01,.
488,corn,1984-01-01,.
489,corn,1983-12-01,.
490,corn,1983-11-01,.
491,corn,1983-10-01,.
492,corn,1983-09-01,.
493,corn,1983-08-01,.
494,corn,1983-07-01,.
495,corn,1983-06-01,.
496,corn,1983-05-01,.
497,corn,1983-04-01,.
498,corn,1983-03-01,.
499,corn,1983-02-01,.
500,corn,1983-01-01,.
501,corn,1982-12-01,.
502,corn,1982-11-01,.
503,corn,1982-10-01,.
504,corn,1982-09-01,.
505,corn,1982-08-01,.
506,corn,1982-07-01,.
507,corn,1982-06-01,.
508,corn,1982-05-01,.
509,corn,1982-04-01,.
510,corn,1982-03-01,.
511,corn,1982-02-01,.
512,corn,1982-01-01,.
513,corn,1981-12-01,.
514,corn,1981-11-01,.
515,corn,1981-10-01,.
516,corn,1981-09-01,.
517,corn,1981-08-01,.
518,corn,1981-07-01,.
519,corn,1981-06-01,.
520,corn,1981-05-01,.
521,corn,1981-04-01,.
522,corn,1981-03-01,.
523,corn,1981-02-01,.
524,corn,1981-01-01,.
525,corn,1980-12-01,.
526,corn,1980-11-01,.
527,corn,1980-10-01,.
528,corn,1980-09-01,.
529,corn,1980-08-01,.
530,corn,1980-07-01,.
531,corn,1980-06-01,.
532,corn,1980-05-01,.
533,corn,1980-04-01,.
534,corn,1980-03-01,.
535,corn,1980-02-01,.
536,corn,1980-01-01,.
