,index,date,value
0,index,2024-09-01,161.566179844622
1,index,2024-08-01,164.136246469666
2,index,2024-07-01,166.137493006254
3,index,2024-06-01,166.737594187273
4,index,2024-05-01,168.691950604003
5,index,2024-04-01,170.397592106648
6,index,2024-03-01,163.075985135962
7,index,2024-02-01,158.634377947471
8,index,2024-01-01,159.314569939223
9,index,2023-12-01,159.538363227803
10,index,2023-11-01,165.138261723492
11,index,2023-10-01,167.909337962592
12,index,2023-09-01,168.607096444481
13,index,2023-08-01,161.271623423864
14,index,2023-07-01,157.908976461302
15,index,2023-06-01,154.069169324197
16,index,2023-05-01,157.134011971114
17,index,2023-04-01,170.764655371124
18,index,2023-03-01,168.300258877164
19,index,2023-02-01,174.561285576855
20,index,2023-01-01,182.636276723332
21,index,2022-12-01,194.348353128788
22,index,2022-11-01,192.082165845632
23,index,2022-10-01,191.366336082467
24,index,2022-09-01,220.018632836415
25,index,2022-08-01,241.918745982485
26,index,2022-07-01,229.44624567392
27,index,2022-06-01,231.60325471598
28,index,2022-05-01,226.337300490765
29,index,2022-04-01,228.265142658564
30,index,2022-03-01,239.861970330611
31,index,2022-02-01,203.505762695553
32,index,2022-01-01,192.250049963359
33,index,2021-12-01,186.691340581823
34,index,2021-11-01,183.088126088991
35,index,2021-10-01,191.501525030901
36,index,2021-09-01,171.571139116163
37,index,2021-08-01,163.178759997096
38,index,2021-07-01,164.827040832743
39,index,2021-06-01,160.762443495608
40,index,2021-05-01,155.194593870454
41,index,2021-04-01,145.241826377187
42,index,2021-03-01,141.003888400872
43,index,2021-02-01,137.97817427033
44,index,2021-01-01,136.957834792857
45,index,2020-12-01,125.252659162981
46,index,2020-11-01,115.231344019608
47,index,2020-10-01,111.246641726076
48,index,2020-09-01,108.328519788263
49,index,2020-08-01,108.679955303339
50,index,2020-07-01,102.887179091693
51,index,2020-06-01,99.8921663876564
52,index,2020-05-01,91.7174653391091
53,index,2020-04-01,85.0490316170515
54,index,2020-03-01,93.1705055905076
55,index,2020-02-01,110.137603592061
56,index,2020-01-01,118.811698214241
57,index,2019-12-01,119.29872697487
58,index,2019-11-01,116.427399713612
59,index,2019-10-01,112.652198070281
60,index,2019-09-01,114.071880638148
61,index,2019-08-01,112.040003428534
62,index,2019-07-01,117.375106218246
63,index,2019-06-01,114.86701571619
64,index,2019-05-01,119.639814357328
65,index,2019-04-01,122.77998094573
66,index,2019-03-01,119.364307743277
67,index,2019-02-01,118.744238482665
68,index,2019-01-01,117.018940738944
69,index,2018-12-01,115.900162011294
70,index,2018-11-01,121.454747024837
71,index,2018-10-01,132.817541291737
72,index,2018-09-01,131.720310839944
73,index,2018-08-01,127.500840494068
74,index,2018-07-01,129.840947702809
75,index,2018-06-01,131.646123912483
76,index,2018-05-01,132.836006812929
77,index,2018-04-01,128.083658939941
78,index,2018-03-01,126.116602528027
79,index,2018-02-01,126.349051212069
80,index,2018-01-01,128.461669849086
81,index,2017-12-01,121.992279700185
82,index,2017-11-01,120.500268941428
83,index,2017-10-01,115.562701096136
84,index,2017-09-01,114.09346486128
85,index,2017-08-01,111.044240889913
86,index,2017-07-01,108.228429724116
87,index,2017-06-01,105.675238726499
88,index,2017-05-01,108.927676016284
89,index,2017-04-01,111.112790999156
90,index,2017-03-01,110.842228738389
91,index,2017-02-01,116.331460765317
92,index,2017-01-01,115.704869800857
93,index,2016-12-01,111.463587626653
94,index,2016-11-01,105.525639224854
95,index,2016-10-01,106.720403357688
96,index,2016-09-01,103.17943979476
97,index,2016-08-01,103.156242149091
98,index,2016-07-01,102.794468094437
99,index,2016-06-01,103.515057896825
100,index,2016-05-01,100.832288233466
101,index,2016-04-01,96.9279430586823
102,index,2016-03-01,93.5966567628088
103,index,2016-02-01,87.0150888635958
104,index,2016-01-01,85.2731849371398
105,index,2015-12-01,90.5728796066738
106,index,2015-11-01,96.0093230576381
107,index,2015-10-01,102.040725243686
108,index,2015-09-01,101.881826679377
109,index,2015-08-01,102.354659760561
110,index,2015-07-01,109.327539142244
111,index,2015-06-01,115.742643374841
112,index,2015-05-01,118.119367498046
113,index,2015-04-01,114.580373947608
114,index,2015-03-01,113.248246566578
115,index,2015-02-01,117.198881925442
116,index,2015-01-01,113.974758439255
117,index,2014-12-01,125.92723660929
118,index,2014-11-01,139.118864477708
119,index,2014-10-01,145.765382671243
120,index,2014-09-01,154.167918007637
121,index,2014-08-01,159.253727420342
122,index,2014-07-01,164.797642103171
123,index,2014-06-01,168.351310351098
124,index,2014-05-01,168.070779566853
125,index,2014-04-01,170.105532955183
126,index,2014-03-01,168.62977360677
127,index,2014-02-01,169.350272659741
128,index,2014-01-01,165.526537724477
129,index,2013-12-01,167.17527927191
130,index,2013-11-01,163.565587954207
131,index,2013-10-01,165.397114175621
132,index,2013-09-01,167.962245671055
133,index,2013-08-01,168.5851083046
134,index,2013-07-01,165.994366693682
135,index,2013-06-01,164.0598227828
136,index,2013-05-01,166.74340866391
137,index,2013-04-01,167.819250104005
138,index,2013-03-01,171.203032018493
139,index,2013-02-01,175.50395775166
140,index,2013-01-01,174.027821529619
141,index,2012-12-01,169.963509713296
142,index,2012-11-01,169.079559418959
143,index,2012-10-01,171.236194405048
144,index,2012-09-01,173.022479627727
145,index,2012-08-01,171.376777462595
146,index,2012-07-01,166.486246140197
147,index,2012-06-01,160.920296994703
148,index,2012-05-01,171.938519978354
149,index,2012-04-01,182.596822240735
150,index,2012-03-01,185.631243934266
151,index,2012-02-01,181.918468947264
152,index,2012-01-01,176.456379874451
153,index,2011-12-01,173.390492144848
154,index,2011-11-01,176.807901196487
155,index,2011-10-01,174.898446897193
156,index,2011-09-01,180.653747319119
157,index,2011-08-01,183.210643311126
158,index,2011-07-01,187.88328347747
159,index,2011-06-01,184.913285745087
160,index,2011-05-01,186.867635951463
161,index,2011-04-01,194.306033357694
162,index,2011-03-01,184.783151963602
163,index,2011-02-01,178.70444958861
164,index,2011-01-01,172.458767894064
165,index,2010-12-01,166.162039399656
166,index,2010-11-01,157.064601960867
167,index,2010-10-01,152.207460939239
168,index,2010-09-01,144.433606285338
169,index,2010-08-01,141.643776111645
170,index,2010-07-01,137.843341038294
171,index,2010-06-01,137.719023925784
172,index,2010-05-01,140.402469952676
173,index,2010-04-01,149.313117882383
174,index,2010-03-01,141.524805511806
175,index,2010-02-01,136.552742218458
176,index,2010-01-01,139.839679297432
177,index,2009-12-01,134.045837287127
178,index,2009-11-01,131.509059740893
179,index,2009-10-01,126.645989122524
180,index,2009-09-01,119.135919568377
181,index,2009-08-01,122.795871392493
182,index,2009-07-01,116.328952708189
183,index,2009-06-01,120.502487414329
184,index,2009-05-01,111.797397368604
185,index,2009-04-01,102.904605315295
186,index,2009-03-01,100.944839840212
187,index,2009-02-01,100.92348256431
188,index,2009-01-01,104.427579022121
189,index,2008-12-01,101.904734420369
190,index,2008-11-01,114.359339707555
191,index,2008-10-01,134.788242367655
192,index,2008-09-01,164.858399692681
193,index,2008-08-01,179.781378472755
194,index,2008-07-01,200.808359967538
195,index,2008-06-01,199.223140422477
196,index,2008-05-01,190.237107906841
197,index,2008-04-01,177.796062262196
198,index,2008-03-01,171.181055223119
199,index,2008-02-01,161.414167479217
200,index,2008-01-01,154.383559162106
201,index,2007-12-01,147.755432401636
202,index,2007-11-01,147.612174794676
203,index,2007-10-01,139.447027404245
204,index,2007-09-01,131.754371003311
205,index,2007-08-01,125.569045154311
206,index,2007-07-01,129.619040838954
207,index,2007-06-01,127.07767879833
208,index,2007-05-01,126.760826703287
209,index,2007-04-01,126.426951618491
210,index,2007-03-01,119.61720550207
211,index,2007-02-01,116.909043314201
212,index,2007-01-01,110.892795218448
213,index,2006-12-01,115.395055956808
214,index,2006-11-01,113.474580801754
215,index,2006-10-01,110.698495911314
216,index,2006-09-01,112.400918147041
217,index,2006-08-01,122.122935091643
218,index,2006-07-01,121.47218256652
219,index,2006-06-01,117.066399201037
220,index,2006-05-01,119.811486522325
221,index,2006-04-01,115.604648629511
222,index,2006-03-01,106.955531141202
223,index,2006-02-01,106.099284947744
224,index,2006-01-01,107.805714352905
225,index,2005-12-01,106.121002250701
226,index,2005-11-01,101.047521554343
227,index,2005-10-01,107.012106797995
228,index,2005-09-01,107.597009494798
229,index,2005-08-01,103.62105354363
230,index,2005-07-01,97.7757469683376
231,index,2005-06-01,95.5070254009748
232,index,2005-05-01,91.7383810656271
233,index,2005-04-01,94.1885845775862
234,index,2005-03-01,94.599555802495
235,index,2005-02-01,87.4309144203889
236,index,2005-01-01,85.4687843799749
237,index,2004-12-01,82.6103037167049
238,index,2004-11-01,83.8591118778556
239,index,2004-10-01,86.4844297749064
240,index,2004-09-01,80.6799602588991
241,index,2004-08-01,80.8376020798345
242,index,2004-07-01,79.7700843227268
243,index,2004-06-01,78.3948255987984
244,index,2004-05-01,79.6792614069198
245,index,2004-04-01,76.5434715985936
246,index,2004-03-01,75.4267213343332
247,index,2004-02-01,72.9606913930652
248,index,2004-01-01,73.1691802528608
249,index,2003-12-01,70.5234791175792
250,index,2003-11-01,67.4059805137133
251,index,2003-10-01,67.4783288374775
252,index,2003-09-01,64.5014534129361
253,index,2003-08-01,64.4238736964299
254,index,2003-07-01,63.3039713180149
255,index,2003-06-01,64.3843517879062
256,index,2003-05-01,63.0659772161954
257,index,2003-04-01,61.8871994794742
258,index,2003-03-01,65.782767587809
259,index,2003-02-01,70.2295140727457
260,index,2003-01-01,65.1533780787117
261,index,2002-12-01,.
262,index,2002-11-01,.
263,index,2002-10-01,.
264,index,2002-09-01,.
265,index,2002-08-01,.
266,index,2002-07-01,.
267,index,2002-06-01,.
268,index,2002-05-01,.
269,index,2002-04-01,.
270,index,2002-03-01,.
271,index,2002-02-01,.
272,index,2002-01-01,.
273,index,2001-12-01,.
274,index,2001-11-01,.
275,index,2001-10-01,.
276,index,2001-09-01,.
277,index,2001-08-01,.
278,index,2001-07-01,.
279,index,2001-06-01,.
280,index,2001-05-01,.
281,index,2001-04-01,.
282,index,2001-03-01,.
283,index,2001-02-01,.
284,index,2001-01-01,.
285,index,2000-12-01,.
286,index,2000-11-01,.
287,index,2000-10-01,.
288,index,2000-09-01,.
289,index,2000-08-01,.
290,index,2000-07-01,.
291,index,2000-06-01,.
292,index,2000-05-01,.
293,index,2000-04-01,.
294,index,2000-03-01,.
295,index,2000-02-01,.
296,index,2000-01-01,.
297,index,1999-12-01,.
298,index,1999-11-01,.
299,index,1999-10-01,.
300,index,1999-09-01,.
301,index,1999-08-01,.
302,index,1999-07-01,.
303,index,1999-06-01,.
304,index,1999-05-01,.
305,index,1999-04-01,.
306,index,1999-03-01,.
307,index,1999-02-01,.
308,index,1999-01-01,.
309,index,1998-12-01,.
310,index,1998-11-01,.
311,index,1998-10-01,.
312,index,1998-09-01,.
313,index,1998-08-01,.
314,index,1998-07-01,.
315,index,1998-06-01,.
316,index,1998-05-01,.
317,index,1998-04-01,.
318,index,1998-03-01,.
319,index,1998-02-01,.
320,index,1998-01-01,.
321,index,1997-12-01,.
322,index,1997-11-01,.
323,index,1997-10-01,.
324,index,1997-09-01,.
325,index,1997-08-01,.
326,index,1997-07-01,.
327,index,1997-06-01,.
328,index,1997-05-01,.
329,index,1997-04-01,.
330,index,1997-03-01,.
331,index,1997-02-01,.
332,index,1997-01-01,.
333,index,1996-12-01,.
334,index,1996-11-01,.
335,index,1996-10-01,.
336,index,1996-09-01,.
337,index,1996-08-01,.
338,index,1996-07-01,.
339,index,1996-06-01,.
340,index,1996-05-01,.
341,index,1996-04-01,.
342,index,1996-03-01,.
343,index,1996-02-01,.
344,index,1996-01-01,.
345,index,1995-12-01,.
346,index,1995-11-01,.
347,index,1995-10-01,.
348,index,1995-09-01,.
349,index,1995-08-01,.
350,index,1995-07-01,.
351,index,1995-06-01,.
352,index,1995-05-01,.
353,index,1995-04-01,.
354,index,1995-03-01,.
355,index,1995-02-01,.
356,index,1995-01-01,.
357,index,1994-12-01,.
358,index,1994-11-01,.
359,index,1994-10-01,.
360,index,1994-09-01,.
361,index,1994-08-01,.
362,index,1994-07-01,.
363,index,1994-06-01,.
364,index,1994-05-01,.
365,index,1994-04-01,.
366,index,1994-03-01,.
367,index,1994-02-01,.
368,index,1994-01-01,.
369,index,1993-12-01,.
370,index,1993-11-01,.
371,index,1993-10-01,.
372,index,1993-09-01,.
373,index,1993-08-01,.
374,index,1993-07-01,.
375,index,1993-06-01,.
376,index,1993-05-01,.
377,index,1993-04-01,.
378,index,1993-03-01,.
379,index,1993-02-01,.
380,index,1993-01-01,.
381,index,1992-12-01,.
382,index,1992-11-01,.
383,index,1992-10-01,.
384,index,1992-09-01,.
385,index,1992-08-01,.
386,index,1992-07-01,.
387,index,1992-06-01,.
388,index,1992-05-01,.
389,index,1992-04-01,.
390,index,1992-03-01,.
391,index,1992-02-01,.
392,index,1992-01-01,.
